FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-236b,01-08-2018 00:00:00,7,Médiocre,AtmoSud,commune,13001,Aix-en-Provence,3,0,7,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-236a,01-08-2018 00:00:00,8,Mauvais,AtmoSud,commune,13055,Marseille,5,0,8,5,0,#E31E25
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2369,01-08-2018 00:00:00,7,Médiocre,AtmoSud,commune,83137,Toulon,5,0,7,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2368,01-08-2018 00:00:00,5,Moyen,AtmoSud,commune,84007,Avignon,1,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2367,01-08-2019 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2366,01-08-2019 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2365,01-08-2019 00:00:00,6,Médiocre,AtmoSud,commune,13001,Aix-en-Provence,2,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2364,01-08-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,2,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2363,01-08-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,2,0,5,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2362,01-08-2019 00:00:00,6,Médiocre,AtmoSud,commune,84007,Avignon,1,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2361,01-09-2018 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2360,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,4,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-235f,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-235e,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-235d,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-235c,01-09-2018 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-235b,01-09-2019 00:00:00,6,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-235a,01-09-2019 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,5,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2359,01-09-2019 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,1,0,5,2,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2358,01-09-2019 00:00:00,6,Médiocre,AtmoSud,commune,13055,Marseille,3,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2357,01-09-2019 00:00:00,6,Médiocre,AtmoSud,commune,83137,Toulon,2,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2356,01-09-2019 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2355,01-10-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2354,01-10-2018 00:00:00,5,Moyen,AtmoSud,commune,06088,Nice,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2353,01-10-2018 00:00:00,8,Mauvais,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,8,0,#E31E25
